;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
7/26/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
7/27/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
7/28/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
7/29/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
7/30/22;sabato;;;;;;;;;;;;
7/31/22;domenica;;;;;;;;;;;;
8/1/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
8/2/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
8/3/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
8/4/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
8/5/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
8/6/22;sabato;;;;;;;;;;;;
8/7/22;domenica;;;;;;;;;;;;
8/8/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
8/9/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
8/10/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
8/11/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
8/12/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
8/13/22;sabato;;;;;;;;;;;;
8/14/22;domenica;;;;;;;;;;;;
8/15/22;lunedì;;;;;;;;;;;;
8/16/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
8/17/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
8/18/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
8/19/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
8/20/22;sabato;;;;;;;;;;;;
8/21/22;domenica;;;;;;;;;;;;
8/22/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
8/23/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
8/24/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
8/25/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
8/26/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
8/27/22;sabato;;;;;;;;;;;;
8/28/22;domenica;;;;;;;;;;;;
8/29/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
8/30/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
8/31/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
9/1/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
9/2/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
9/3/22;sabato;;;;;;;;;;;;
9/4/22;domenica;;;;;;;;;;;;
